"location_id","location_type__001","location_type__002","location_type__003","open_soon","latitude","longitude"
"dc19654","destination charger","standard charger","","0","51.9265180000","-2.0417760000"
"dc9715","standard charger","destination charger","","0","42.6455660000","18.0901820000"
"dc10151","destination charger","standard charger","","0","50.8597500000","5.8235130000"
"dc13265","destination charger","standard charger","","0","47.8749750000","13.5697260000"
"dc13601","destination charger","standard charger","","0","48.9187820000","7.3650600000"
"dc14774","destination charger","standard charger","","0","50.5807950000","2.5088800000"
"dc16011","destination charger","standard charger","","0","46.6245520000","14.0343040000"
"dc17933","destination charger","standard charger","","0","48.4978990000","2.5819070000"
"dc19769","destination charger","standard charger","","0","51.2579130000","-2.4250580000"
"dc15011","destination charger","standard charger","","0","55.2087250000","9.9931910000"
"dc10722","destination charger","standard charger","","0","56.6978110000","-3.7404500000"
"dc14081","destination charger","standard charger","","0","52.4269670000","-1.5759980000"
"dc15362","destination charger","standard charger","","0","45.0461960000","6.3068760000"
"dc17930","destination charger","standard charger","","0","59.3243700000","8.4962420000"
"dc17111","standard charger","destination charger","","0","46.6920250000","12.3672720000"
"dc19114","destination charger","standard charger","","0","51.2572360000","-0.8961500000"
"dc9872","destination charger","standard charger","","0","45.8832910000","10.8472610000"
"dc14137","destination charger","standard charger","","0","50.7766770000","3.5231090000"
"dc15149","destination charger","standard charger","","0","46.3961370000","6.5927770000"
"dc16275","destination charger","standard charger","","0","51.3159580000","3.1337230000"
"dc14305","destination charger","","","0","39.6301580000","140.6997100000"
"dc17013","destination charger","","","0","46.3959820000","-70.4957750000"
"dc17996","destination charger","","","0","31.3255810000","-113.5871460000"
"dc17454","destination charger","","","0","20.7681190000","-105.5362450000"
"dc20217","destination charger","","","0","19.4099750000","-99.1838380000"
"dc18542","destination charger","","","0","25.6548900000","-100.2927930000"
"dc15372","destination charger","","","0","41.0152180000","-72.4873610000"
"dc17993","destination charger","","","0","16.8562030000","-99.8665150000"
"dc14880","destination charger","","","0","32.3036840000","-95.3227390000"
"dc16956","destination charger","","","0","33.0421370000","-96.8309280000"
"dc16957","destination charger","","","0","33.1167400000","-96.6672970000"
"dc17456","destination charger","","","0","21.0389350000","-86.7818690000"
"dc17994","destination charger","","","0","16.8460890000","-99.8497580000"
"dc17448","destination charger","","","0","19.4230820000","-99.1743070000"
"dc17566","destination charger","","","0","32.8103350000","-96.7291900000"
"dc18410","destination charger","","","0","28.9265170000","-81.9980900000"
"dc18541","destination charger","","","0","25.7207930000","-100.2171090000"
"dc19555","destination charger","","","0","20.6538380000","-103.3916580000"
"monroesupercharger","supercharger","standard charger","","0","32.4964550000","-92.0550590000"
"edinburgh-newbridge","service","","","0","55.9346160000","-3.4038410000"
"macaustudiocitysupercharger","supercharger","","","0","22.1412220000","113.5626000000"
"shanghaik11artmallsupercharger","supercharger","standard charger","","0","31.2233180000","121.4733050000"
"riviereduloupsupercharger","supercharger","standard charger","","0","47.8201700000","-69.5587760000"
"muricasupercharger","supercharger","standard charger","","0","38.0381720000","-1.1493430000"
"laurelsupercharger","supercharger","standard charger","","0","39.0953820000","-76.8583190000"
"dc11477","destination charger","","","0","40.7221370000","-73.9565830000"
"dc18528","destination charger","","","0","19.4002850000","-99.1709070000"
"dc11979","destination charger","","","0","35.6016860000","-82.5491460000"
"dc12356","destination charger","","","0","34.0505280000","-118.2426490000"
"dc15084","destination charger","","","0","37.1989390000","-112.9890390000"
"dc20124","destination charger","","","0","32.1198740000","-116.5345790000"
"dc12655","destination charger","","","0","45.1097220000","-72.8593020000"
"dc17992","destination charger","","","0","37.9073340000","-122.6731390000"
"dc16840","destination charger","standard charger","","0","51.4749850000","-0.1817610000"
"dc18177","destination charger","standard charger","","0","52.6573440000","-0.6681050000"
"dc12203","destination charger","standard charger","","0","47.7315450000","12.6613650000"
"dc17061","destination charger","standard charger","","0","46.4992570000","9.8417350000"
"dc17670","destination charger","standard charger","","0","53.8021780000","-1.5430190000"
"dc18339","destination charger","standard charger","","0","46.4936560000","9.9016160000"
"dc18770","destination charger","standard charger","","0","52.9660550000","0.6788970000"
"dc18776","destination charger","standard charger","","0","51.1692720000","-0.0054980000"
